Link,Cover,Title,Short Title,Chinese Title,Status,Author,Genre,Tags
https://www.mtlnovel.com/my-mother-got-rich-after-running-with-the-baby/,https://www.mtlnovel.net/uploads/2021/11/my-mother-got-rich-after-running-with-the-baby-180x240.jpg.webp,My Mother Got Rich After Running With the Baby,MMGRARWB,我妈带球跑后暴富了,Completed,安然一世,"Josei, Romance, Slice of Life","Abandoned Children, Child Protagonist, Cultivation, Farming, Female Protagonist, Ghosts, Magical Space, Modern Day, System, System Administrator, Transmigration"
https://www.mtlnovel.com/foolish-man/,https://www.mtlnovel.net/uploads/2021/11/yu-xiao-nan-wearing-a-play-180x240.jpg.webp,Foolish Man,FM,愚孝男[穿剧],Completed,Meow cub wants to eat grass,"Seinen, Slice of Life, Urban Life","Business Management, Hard-Working Protagonist, Male Protagonist, Modern Day, Money Grubber, Romantic Subplot, Transmigration, Weak to Strong"
https://www.mtlnovel.com/the-worlds-male-repairs-are-all-furnace-tripods/,https://www.mtlnovel.net/uploads/2021/11/the-world-s-male-repairs-are-all-furnace-tripods.jpg.webp,The World’s Male Repairs Are All Furnace Tripods,TWMRAAFT,天下男修皆炉鼎,Completed,Misty Rain,"Drama, Josei, Xianxia","Arrogant Characters, Cultivation, Depictions of Cruelty, Female Protagonist, Handsome Male Lead, R-15, Sexual Cultivation Technique, Transmigration"
https://www.mtlnovel.com/acceptance-of-the-heavens-begins-with-the-devil-fruit-tree/,https://www.mtlnovel.net/uploads/2021/11/containing-the-heavens-begins-with-the-devil-fruit-tree-180x240.jpg.webp,Acceptance of the Heavens Begins with the Devil Fruit Tree,AHBDFT,收容诸天从恶魔果树开始,Completed,I am a fool,"Fan-Fiction, Fantasy, Xuanhuan","Aristocracy, Army Building, Calm Protagonist, Cheats, Colonialization, Dark Fantasy, Domestic Affairs, Empire, European Ambience, Evil Gods, Evil Protagonist, Fan-fiction, Fanfic, Fanfiction, Fast Cultivation, Firearms, Gate to Another World, Genius Protagonist, Gods, Industrialization, Kingdom Building, Kingdoms, Knights, Loyal Subordinates, Male Protagonist, Master-Servant Relationship, Medieval, Mermaids, Naruto, Nobles, One Piece, OP Protagonist, Orcs, Pirates, Politics, Religious Organizations, Reverend Insanity, Ruthless Protagonist, Schemes and Conspiracy, Scientists, Sea Monsters, Secret Organizations, Steampunk, Strategic Battles, Submissive Female Subordinate, Territory Management, Time Dilation, Time Skip, Wars, Wizards, Zombies"
https://www.mtlnovel.com/lords-little-vixen-is-cruel-again/,https://www.mtlnovel.net/uploads/2021/11/Lords-Little-Vixen-is-Cruel-Again-180x240.jpg.webp,Lord’s Little Vixen is Cruel Again,LLVCA,爵爷的小狐狸精又凶残了,Completed,Xin Xiaoran,Romance,"Assassins, Female Protagonist, Multiple Identities, Prophecies, Rebirth, Revenge, Strong Female Protagonist"
https://www.mtlnovel.com/the-villainous-alpha-was-picked-up-by-the-doomsday-boss/,https://www.mtlnovel.net/uploads/2021/11/the-villainous-alpha-was-picked-up-by-the-doomsday-boss-180x240.jpg.webp,The Villainous Alpha Was Picked up by the Doomsday Boss,VAPBDB,反派Alpha被末世大佬捡回家,Completed,薄桃,"Action, Drama, Romance, Shounen Ai, Supernatural, Yaoi","Apocalypse, Clever Protagonist, Futuristic Setting, Handsome Male Lead, Love Interest Falls in Love First, Military, Mpreg, Omegaverse, Post-apocalyptic, Slow Romance, Strong Love Interests, Terminal Illness, Transported to Another World, Zombies"
https://www.mtlnovel.com/dressed-as-the-deadly-opponent-of-the-male-protagonist-of-the-imperial-examination/,https://www.mtlnovel.net/uploads/2021/11/dressed-as-the-deadly-opponent-of-the-male-protagonist-of-the-imperial-examination-180x240.jpg.webp,Dressed As the Deadly Opponent of the Male Protagonist of the Imperial Examination,DADOMPIE,穿成科举文男主的死对头,Completed,Suihoku,"Drama, Historical, Romance","Ancient China, Beautiful Female Lead, Black Belly, Child Protagonist, Cross-dressing, Cunning Protagonist, Depictions of Cruelty, Female Protagonist, Handsome Male Lead, Reincarnated in Another World, Revenge, Schemes And Conspiracies, Slow Romance, Transmigration"
https://www.mtlnovel.com/transmigrated-as-the-stepmother-of-the-male-protagonist-in-a-campus-story/,https://www.mtlnovel.net/uploads/2021/11/transmigrated-as-the-stepmother-of-the-male-protagonist-in-a-campus-story-180x240.jpg.webp,Transmigrated as the Stepmother of the Male Protagonist in a Campus Story,TSMPCS,穿成校园文男主的后妈,Completed,Lin MianMian,"Comedy, Drama, Romance","Beautiful Female Lead, Boss-Subordinate Relationship, Business Management, Carefree Protagonist, Family, Female Protagonist, Hard-Working Protagonist, Late Romance, Love Interest Falls in Love First, Money Grubber, Older Love Interests, Transmigration, Wealthy Characters"
https://www.mtlnovel.com/my-girlfriend-is-long-aotian/,https://www.mtlnovel.net/uploads/2021/11/my-girlfriend-is-long-aotian-180x240.jpg.webp,My Girlfriend is Long Aotian,MGLA,我的女友是龙傲天,Completed,Endless changes,"Action, Harem, Urban Life","Adapted to Manga, Adapted to Manhua, Aliens, Comedic Undertone, Cultivation, Early Romance, Elves, Harem, Male Protagonist, Modern Day, Parody, Racism, Rape, Rape Victim Becomes Lover, Sexual Cultivation Technique, Superpowers, Sword And Magic, Unlucky Protagonist"
https://www.mtlnovel.com/after-rebirth-i-became-a-rich-man-and-wife/,https://www.mtlnovel.net/uploads/2021/11/after-rebirth-i-became-a-rich-man-and-wife-180x240.jpg.webp,"After Rebirth, I Became a Rich Man and Wife",ARIBRMW,重生后我成了豪门男妻,Completed,Qinglu,Yaoi,"Adopted Protagonist, Affair, Complex Family Relationships, Devoted Love Interests, Family Business, Handsome Male Lead, Modern Day, Older Love Interests, Rebirth, Schemes And Conspiracies, Underestimated Protagonist, Wealthy Characters"
