Link,Cover,Title,Short Title,Chinese Title,Status,Author,Genre,Tags
https://www.mtlnovel.com/this-infinite-world-is-shameless/,https://www.mtlnovel.net/uploads/2022/08/this-infinite-world-is-shameless.jpg.webp,This Infinite World is Shameless,TIWS,这无限世界真不要脸,Dropped,23333,Fan-Fiction,"Fan-fiction, Fanfiction, Harem, Harem-seeking Protagonist, Male Protagonist, Netori, Perverted Protagonist, Rape, Shameless Protagonist"
https://www.mtlnovel.com/manga-guidebook/,https://www.mtlnovel.net/uploads/2022/07/manga-guidebook-180x240.jpg.webp,Manga Guidebook,MG,漫画攻略手册,Dropped,cuttlefish in water,Fan-Fiction,"Famous Protagonist, Male Protagonist, Parallel World, System, Transmigration, Writers"
https://www.mtlnovel.com/my-talent-can-constantly-evolve/,https://www.mtlnovel.net/uploads/2022/07/my-talent-can-evolve-infinitely-180x240.jpg.webp,My Talent Can Constantly Evolve,MTCCE,我的天赋能无限进化,Dropped,early morning,"Fantasy, Xuanhuan","God Protagonist, Hard-Working Protagonist, Male Protagonist"
https://www.mtlnovel.com/peng-lie-on-the-great-way/,https://www.mtlnovel.net/uploads/2022/07/pongle-on-the-great-way-180x240.jpg.webp,Peng Lie on the Great Way,PLGW,伟大航路上的彭格列,Dropped,Yang family boy,Fan-Fiction,"Clan Building, Fan-fiction, Fanfiction, Male Protagonist, One Piece, Pirates, System"
https://www.mtlnovel.com/summoned-demon-emperor-rise/,https://www.mtlnovel.net/uploads/2022/07/summoned-demon-emperor-rise-180x240.jpg.webp,Summoned Demon Emperor Rise,SDER,召唤之魔帝崛起,Dropped,little cute,"Fantasy, Xuanhuan","Aristocrat, Army Building, Imperial Harem, Kingdom Building, Nobles, System"
https://www.mtlnovel.com/marvel-anime-extraction/,https://www.mtlnovel.net/uploads/2022/07/marvel-s-anime-extraction-180x240.jpg.webp,Marvel: Anime Extraction,MAE,漫威之动漫抽取,Dropped,Boss has no vest,Fan-Fiction,"Fan-fiction, Fanfiction, Fantasy Magic, Godly Powers, Magic, Male Protagonist, Marvel, Overpowered Protagonist, Righteous Protagonist, System"
https://www.mtlnovel.com/the-life-of-a-gangster-that-started-in-a-gun-shop/,https://www.mtlnovel.net/uploads/2022/07/the-life-of-a-gangster-that-started-in-a-gun-shop-180x240.jpg.webp,The Life of a Gangster That Started In a Gun Shop,TLGTSIGS,从枪店开始的大佬生活,Dropped,blush,"Historical, Military","Business Management, Businessmen, Male Protagonist, System"
https://www.mtlnovel.com/the-only-male-protagonist/,https://www.mtlnovel.net/uploads/2022/07/the-only-male-protagonist.jpg.webp,The Only Male Protagonist,TOMP,综漫之唯一男主角,Dropped,A system that forms a pear bucket,"Action, Fantasy","Aliens, Angels, Demons, Fan-fiction, Fanfiction, Harem, Lucky Protagonist, Male Protagonist, Monster Girls, Overpowered Protagonist, Polygamy, Protagonist Strong from the Start, Strong to Stronger, System, Transmigration, World Travel, Writers"
https://www.mtlnovel.com/parallel-world-dungeons-galore/,https://www.mtlnovel.net/uploads/2022/07/i-m-brushing-a-copy-in-reality-180x240.jpg.webp,Parallel World: Dungeons Galore,PWDG,我在现实刷副本,Dropped,always skinny,Urban Life,"Game Elements, Male Protagonist, Martial arts, System"
https://www.mtlnovel.com/i-am-a-saiyan/,https://www.mtlnovel.net/uploads/2022/07/i-am-saiyan-180x240.jpg.webp,I Am a Saiyan,IAS,我是赛亚人,Dropped,lazy angel,Fan-Fiction,"Fanfiction, Male Protagonist"
https://www.mtlnovel.com/colonize-alien/,https://www.mtlnovel.net/uploads/2022/07/Colonize-Alien-1-180x240.jpg.webp,Colonize Alien,CA,殖民异位面,Dropped,shining stardust,Sci-fi,"Nationalism, Second Chance, System"
https://www.mtlnovel.com/war-on-the-top-akainu-awakens-double-fruits-at-the-start/,https://www.mtlnovel.net/uploads/2022/07/war-on-the-top-akainu-awakens-double-fruits-at-the-start-180x240.jpg.webp,War on the Top: Akainu Awakens Double Fruits at the Start,WTAADFS,顶上战争：开局帮赤犬觉醒双果实,Dropped,Daming comics,Fan-Fiction,"Male Protagonist, One Piece, System"
https://www.mtlnovel.com/i-the-prince-of-qin-dynasty-start-the-fusion-of-the-blind-swordsman/,https://www.mtlnovel.net/uploads/2022/06/i-the-prince-of-daqin-start-the-fusion-of-the-blind-swordsman-180x240.jpg.webp,"I, The Prince of Qin Dynasty, Start the Fusion of the Blind Swordsman",IPQD,我，大秦太子，开局融合瞎子剑客,Dropped,Konoha salted fish,Historical,"Ancient ChinaFanfiction, Blind Protagonist, Kingdoms, Male Protagonist, Overpowered Protagonist, System"
https://www.mtlnovel.com/demon-sage/,https://www.mtlnovel.net/uploads/2022/06/demon-sage-180x240.jpg.webp,Demon Sage,DS,恶魔贤者,Dropped,fox on sale,"Action, Adventure, Fantasy, Supernatural, Xuanhuan","Detectives, Magic, Transmigration"
https://www.mtlnovel.com/with-a-crippled-spiritual-core-i-become-the-boss-of-the-cultivation-world/,https://www.mtlnovel.net/uploads/2022/06/With-A-Crippled-Spiritual-Core-I-Become-The-Boss-Of-The-Cultivation-World-180x240.jpg.webp,"With A Crippled Spiritual Core, I Become The Boss Of The Cultivation World",IBBCW,废灵根的我成了修仙界大佬,Dropped,Zhongtian Ziwei the Great,"Fantasy, Xianxia","Magical Space, Male Protagonist"
https://www.mtlnovel.com/imperial-overlord/,https://www.mtlnovel.net/uploads/2022/06/Imperial-Overlord-1-180x240.jpg.webp,Imperial Overlord,IO,帝国霸主,Dropped,Dragon Knight,"Historical, Military","European Ambience, Industrialization, Male Protagonist, Nationalism, Racism, Reincarnated in Another World, Wars"
