Link,Cover,Title,Short Title,Chinese Title,Status,Author,Genre,Tags
https://www.mtlnovel.com/i-have-a-cultivation-world/,https://www.mtlnovel.net/uploads/2022/08/i-have-a-world-of-immortality-180x240.jpg.webp,I Have A Cultivation World,IHCW,我有一个修仙世界,Ongoing,Pure Nine Lotus Lamp,"Fantasy, Xianxia",Male Protagonist
https://www.mtlnovel.com/pokemon-worlds-male-mother/,https://www.mtlnovel.net/uploads/2022/08/pok-mon-world-s-male-mother-180x240.jpg.webp,Pokémon World’s Male Mother,PWMM,宝可梦世界的男妈妈,Ongoing,Gentleman East,"Action, Adventure, Fan-Fiction, Fantasy","Detectives, Fan-fiction, Fanfiction, Fantasy, Godly Powers, Lord of the Mysteries, Male Protagonist, Pokemon, System, Transmigration"
https://www.mtlnovel.com/transmigrated-to-ancient-times-to-farm-and-build-a-kingdom/,https://www.mtlnovel.net/uploads/2022/08/in-the-last-days-go-to-ancient-tribes-to-farm-and-build-infrastructure-180x240.jpg.webp,Transmigrated To Ancient Times To Farm And Build A Kingdom,TATFBK,末世穿到远古部落种田搞基建,Ongoing,willow orange,Romance,"Female Protagonist, Handsome Male Lead, Tribal Society"
https://www.mtlnovel.com/empress-my-husband-killed-the-immortal-emperor-after-10-years-of-seclusion/,https://www.mtlnovel.net/uploads/2022/08/empress-her-husband-lived-in-seclusion-for-ten-years-and-killed-the-immortal-emperor-with-one-sword-180x240.jpg.webp,Empress: My Husband Killed The Immortal Emperor After 10 Years Of Seclusion,MHKIE,女帝：夫君隐居十年，一剑斩仙帝,Ongoing,One Punch King,"Fantasy, Xuanhuan","Clones, Low-key Protagonist, Male Protagonist, System, Teachers, Transmigration"
https://www.mtlnovel.com/restart-spain/,https://www.mtlnovel.net/uploads/2022/08/restart-spain-180x240.jpg.webp,Restart Spain,RS,重启西班牙日不落,Ongoing,Orthopedic VIP,Historical,"Kingdom Building, Male Protagonist"
https://www.mtlnovel.com/you-might-die-if-i-get-one-treatment/,https://www.mtlnovel.net/uploads/2022/08/you-might-die-if-i-get-one-treatment-180x240.jpg.webp,You Might Die If I Get One Treatment,YMDIIGOT,我一发治疗术下来你可能会死,Ongoing,Gan Gan Gan Yu,Game,"Cheats, Dungeons, Healers, Level System, Male Protagonist, Overpowered Protagonist, Transmigration, Weak to Strong"
https://www.mtlnovel.com/conan-i-am-surrounded-by-undercover/,https://www.mtlnovel.net/uploads/2022/08/conan-i-am-surrounded-by-undercover-180x240.jpg.webp,Conan: I Am Surrounded By Undercover,CIASBU,柯南之我被卧底包围了,Ongoing,extinct,"Comedy, Fan-Fiction, Urban Life","Detective Conan, Harem, Lolicon, Male Protagonist, Secret Organization"
https://www.mtlnovel.com/mission-flow/,https://www.mtlnovel.net/uploads/2022/08/Mission-Flow-180x240.jpg.webp,Mission Flow,MF,任务流神豪,Ongoing,Kindergarten master,Urban Life,"Male Protagonist, Poor to Rich, System"
https://www.mtlnovel.com/mission-flow/,https://www.mtlnovel.net/uploads/2022/08/Mission-Flow-180x240.jpg.webp,Mission Flow,MF,任务流神豪,Ongoing,Kindergarten master,Urban Life,"Male Protagonist, Poor to Rich, System"
https://www.mtlnovel.com/harry-potter-hello-the-dark-lord/,https://www.mtlnovel.net/uploads/2022/08/harry-potter-hello-the-dark-lord-180x240.jpg.webp,Harry Potter: Hello the Dark Lord,HPHDL,哈利波特之Hello黑魔王,Ongoing,A bag of crispy noodles,"Comedy, Fan-Fiction, Fantasy, School Life, Urban Life","Harry Potter, Male Protagonist"
